source,target,length
26389635_,26389636_,28.469
26389636_,84826966_,78.03
26389636_,26389638_,53.533
26389638_,1288802756_,41.032
26389638_,84826413_,62.193999999999996
26389641_,376496966_,169.485
26389642_,6306940328_,10.129
26389642_,1291086770_,37.234
26389642_,376496875_,40.117
26389647_,26389663_,112.629
26389647_,26389667_,69.054
26389647_,26389649_,51.284
26389648_,26389662_,111.687
26389648_,7701609395_,26.307
26389648_,26389649_,29.774
26389649_,26389664_,111.847
26389654_,7849536865_,43.303
26389654_,1414777246_,13.106000000000002
26389654_,7442901082_,22.663
26389662_,26389664_,32.176
26389662_,941120048_,12.916
26389663_,84838609_,15.339
26389663_,885356103_,33.47
26389664_,885356103_,16.208
26389665_,26389669_,124.099
26389665_,26389666_,16.766
26389665_,2808877328_,77.711
26389666_,26389667_,109.069
26389666_,84836493_,16.516
26389667_,26389668_,87.206
26389668_,7711190775_,5.301
26389668_,7711190773_,4.721
26389669_,84836154_,34.52
26389669_,84837565_,55.658
26389671_,84837565_,56.437
26389671_,1023871650_,35.687
26389671_,7729851055_,5.665
26389696_,392513929_,38.291
26389696_,392514197_,19.043
26389698_,26389705_,64.841
26389698_,3068469017_,48.935
26389698_,26389699_,49.205
26389699_,306466107_,21.341
26389699_,306465662_,109.388
26389701_,306465662_,97.039
