code,predicted_pm2.5,geometry
106,15, -0.1609771336801359 51.49051042715265_ -0.1609771336801359 51.49230907036449_ -0.1638663069441087 51.49230907036449_ -0.1638663069441087 51.49051042715265_ -0.1609771336801359 51.49051042715265
107,15, -0.1609771336801359 51.49230907036449_ -0.1609771336801359 51.49410771357633_ -0.1638663069441087 51.49410771357633_ -0.1638663069441087 51.49230907036449_ -0.1609771336801359 51.49230907036449
108,15, -0.1609771336801359 51.49410771357633_ -0.1609771336801359 51.49590635678817_ -0.1638663069441087 51.49590635678817_ -0.1638663069441087 51.49410771357633_ -0.1609771336801359 51.49410771357633
109,15, -0.1609771336801359 51.49590635678817_ -0.1609771336801359 51.497705_ -0.1638663069441087 51.497705_ -0.1638663069441087 51.49590635678817_ -0.1609771336801359 51.49590635678817
110,15, -0.1609771336801359 51.497705_ -0.1609771336801359 51.49950364321184_ -0.1638663069441087 51.49950364321184_ -0.1638663069441087 51.497705_ -0.1609771336801359 51.497705
111,5, -0.1609771336801359 51.49950364321184_ -0.1609771336801359 51.50130228642368_ -0.1638663069441087 51.50130228642368_ -0.1638663069441087 51.49950364321184_ -0.1609771336801359 51.49950364321184
112,5, -0.1609771336801359 51.50130228642368_ -0.1609771336801359 51.503100929635515_ -0.1638663069441087 51.503100929635515_ -0.1638663069441087 51.50130228642368_ -0.1609771336801359 51.50130228642368
113,5, -0.1609771336801359 51.503100929635515_ -0.1609771336801359 51.50489957284736_ -0.1638663069441087 51.50489957284736_ -0.1638663069441087 51.503100929635515_ -0.1609771336801359 51.503100929635515
114,5, -0.1609771336801359 51.50489957284736_ -0.1609771336801359 51.50669821605919_ -0.1638663069441087 51.50669821605919_ -0.1638663069441087 51.50489957284736_ -0.1609771336801359 51.50489957284736
115,5, -0.1609771336801359 51.50669821605919_ -0.1609771336801359 51.50849685927103_ -0.1638663069441087 51.50849685927103_ -0.1638663069441087 51.50669821605919_ -0.1609771336801359 51.50669821605919
116,5, -0.1609771336801359 51.50849685927103_ -0.1609771336801359 51.51029550248287_ -0.1638663069441087 51.51029550248287_ -0.1638663069441087 51.50849685927103_ -0.1609771336801359 51.50849685927103
117,5, -0.1609771336801359 51.51029550248287_ -0.1609771336801359 51.512094145694704_ -0.1638663069441087 51.512094145694704_ -0.1638663069441087 51.51029550248287_ -0.1609771336801359 51.51029550248287
